keyword;volume;cpc;comp;intent;kd
property for sale in tuscany italy;1600;0.21;0.48;3;28
houses for sale in tuscany italy;1300;0.24;0.35;3;34
villas for sale in tuscany italy;210;0.33;0.48;3;28
cheap houses for sale in tuscany italy;90;0.15;0.23;;0
tuscany property for sale;720;0.21;0.45;3;28
houses for sale tuscany italy;390;0.24;0.35;3;29
property for sale in puglia italy;880;0.21;0.14;3;20
houses for sale in puglia italy;590;0.2;0.11;3;21
puglia property for sale;390;0.21;0.14;3;20
houses for sale puglia italy;170;0.16;0.13;3;19
property for sale in sicily italy;390;0.24;0.13;3;25
houses for sale in sicily italy;720;0.25;0.08;3;27
villas for sale in sicily italy;140;0.42;0.36;3;22
cheap houses for sale in sicily italy;70;0.28;0.06;;0
sicily property for sale;880;0.24;0.13;3;28
houses for sale sicily italy;170;0.27;0.1;3;25
property for sale in sardinia italy;720;0.31;0.24;3;19
houses for sale in sardinia italy;480;0.47;0.23;3;24
sardinia italy real estate;70;0.27;0.39;;0
villas for sale in sardinia italy;90;0.49;0.4;3;14
sardinia property for sale;720;0.31;0.24;3;28
houses for sale sardinia italy;140;0.47;0.23;3;22
property for sale in liguria italy;260;0.1;0.18;3;10
houses for sale in liguria italy;140;0.12;0.11;3;9
liguria italy real estate;50;0.15;0.17;;0
liguria property for sale;210;0.1;0.18;3;9
property for sale in umbria italy;390;0.13;0.17;3;13
houses for sale in umbria italy;260;0.15;0.16;3;12
umbria property for sale;260;0.13;0.17;3;17
houses for sale umbria italy;140;0.15;0.16;3;17
property for sale in piedmont italy;110;0.29;0.13;3;14
piedmont property for sale;90;0.14;0.14;;0
houses for sale piedmont italy;40;0.04;0.08;;0
lombardy property for sale;110;0.39;0.07;3;9
property for sale in le marche italy;90;0.09;0.19;;0
houses for sale in le marche italy;70;0.07;0.15;;0
le marche italy property for sale;50;0.09;0.19;;0
le marche property for sale;40;0.09;0.19;;0
le marche italy real estate;40;0.24;0.2;;0
property for sale in abruzzo italy;590;0.12;0.18;3;25
houses for sale in abruzzo italy;320;0.14;0.17;3;24
abruzzo italy property for sale;90;0.17;0.2;;0
abruzzo property for sale;590;0.12;0.18;3;23
houses for sale abruzzo italy;140;0.13;0.15;3;22
property for sale in calabria italy;260;0.21;0.1;3;8
houses for sale in calabria italy;140;0.2;0.08;3;8
calabria property for sale;110;0.21;0.1;3;10
houses for sale calabria italy;40;0.14;0.08;;0
property for sale in rome italy;210;0.19;0.14;3;24
houses for sale in rome italy;170;0.24;0.1;3;19
apartments for sale in rome italy;140;0.27;0.15;3;22
rome property for sale;110;0.19;0.14;3;30
property for sale in milan italy;140;0.2;0.22;3;16
apartments for sale in milan italy;170;0.36;0.21;3;13
milan property for sale;110;0.2;0.22;3;20
houses for sale milan italy;50;0.26;0.15;;0
property for sale in florence italy;260;0.29;0.31;3;16
houses for sale in florence italy;110;0.28;0.33;3;16
apartments for sale in florence italy;90;0.33;0.39;;0
florence property for sale;170;0.29;0.31;3;18
property for sale in venice italy;260;0.21;0.4;3;18
houses for sale in venice italy;140;0.19;0.17;3;19
apartments for sale in venice italy;90;0.21;0.41;;0
venice property for sale;320;0.21;0.4;3;9
houses for sale in naples italy;70;0.07;0.08;;0
naples property for sale;40;0.78;0.3;;0
turin property for sale;50;0.19;0.09;;0
houses for sale in bologna italy;70;0.14;0.12;;0
bologna property for sale;40;0.16;0.1;;0
palermo property for sale;110;0.22;0.08;3;9
villas for sale in palermo italy;50;0;0.14;;0
property for sale in italy;1900;0.23;0.26;3;39
houses for sale in italy;2400;0.25;0.22;3;42
italy real estate;170;0.29;0.21;0;49
villas for sale in italy;320;0.29;0.29;3;39
apartments for sale in italy;170;0.3;0.29;3;27
italy property for sale;1300;0.23;0.26;3;41
cheap houses for sale in italy;480;0.09;0.21;3;34
italian property for sale;1300;0.23;0.26;3;38
italian real estate;140;0.28;0.24;0;39
property in italy;720;0.34;0.26;0;40
homes for sale in italy;1300;0.25;0.22;3;40
real estate italy;140;0.28;0.24;0;44
houses in italy for sale;1000;0.25;0.22;3;48
castle for sale italy;110;0.17;0.13;3;10
land for sale italy;320;0.18;0.18;3;14
vineyard for sale italy;210;0.2;0.2;3;12
cheap property italy;260;0.13;0.19;0;22
cheap houses in italy;480;0.2;0.17;0;22
codice fiscale italy;210;0;0.01;1;31
one euro houses italy;140;1.16;0.02;1;29
1 euro houses italy;390;0.56;0.02;1;39
property tax in italy;70;0;0.03;;0
italy golden visa;480;1.55;0.55;1;37
italy elective residence visa;70;0.64;0.28;;0
italy digital nomad visa;320;1.24;0.24;1;30
italy retirement visa;70;1.62;0.33;;0
permesso di soggiorno;880;0;0.33;1;31
cost of living in italy;170;0;0.33;1;21
moving to italy from uk;590;1.97;0.32;1;15
best places to live in italy;320;1.16;0.03;0;15
international schools italy;70;0.97;0.17;;0
buy to let italy;40;0;0.33;;0
idealista italy;3600;1.31;0.03;2;49
immobiliare.it;1000;0;0.33;2;48
tecnocasa;720;0.36;0.02;2;43
casa.it;320;0;0.33;2;59
gate away;140;0.35;0.24;2;40
gate-away italy;90;0.4;0.39;2;34
knight frank italy;70;1.11;0.66;;0
savills italy;90;0.94;0.15;2;22
