keyword;volume;cpc;comp;intent;kd
property for sale in tuscany italy;880;0.19;0.46;3;30
houses for sale in tuscany italy;2900;0.25;0.37;3;22
tuscany italy real estate;480;0.14;0.51;0;28
villas for sale in tuscany italy;480;0.19;0.47;3;25
apartments for sale in tuscany italy;70;0.18;0.41;3;1
tuscany italy property for sale;30;0.13;0.49;;0
cheap houses for sale in tuscany italy;140;0.08;0.22;3;7
real estate tuscany italy;480;0.14;0.51;0;27
tuscany property for sale;320;0.19;0.46;3;22
houses for sale tuscany italy;320;0.25;0.37;3;18
property for sale in puglia italy;210;0.12;0.28;3;12
houses for sale in puglia italy;390;0.09;0.13;3;12
puglia italy real estate;210;0.1;0.21;0;23
real estate puglia italy;110;0.11;0.18;0;15
puglia property for sale;50;0.12;0.28;3;15
houses for sale puglia italy;90;0.09;0.16;3;11
property for sale in sicily italy;260;0.08;0.14;3;24
houses for sale in sicily italy;1000;0.05;0.07;3;8
sicily italy real estate;480;0.08;0.16;0;25
villas for sale in sicily italy;50;0.2;0.22;3;12
cheap houses for sale in sicily italy;70;0;0.01;3;24
real estate sicily italy;140;0.08;0.16;0;19
sicily property for sale;210;0.08;0.14;3;27
houses for sale sicily italy;140;0.05;0.07;3;15
property for sale in sardinia italy;320;0.36;0.31;3;24
houses for sale in sardinia italy;720;0.16;0.25;3;24
sardinia italy real estate;720;0.17;0.29;0;30
villas for sale in sardinia italy;50;0.39;0.48;3;22
cheap houses for sale in sardinia italy;70;0.08;0.07;3;10
real estate sardinia italy;170;0.17;0.29;0;28
sardinia property for sale;140;0.36;0.31;3;23
houses for sale sardinia italy;140;0.13;0.22;3;19
property for sale in liguria italy;40;0.36;0.31;3;3
houses for sale in liguria italy;110;0.29;0.24;3;6
liguria italy real estate;90;0.1;0.21;0;4
liguria property for sale;40;0.1;0.25;3;5
property for sale in umbria italy;140;0.19;0.27;3;9
houses for sale in umbria italy;390;0.1;0.23;3;9
umbria italy real estate;210;0.12;0.28;0;13
real estate umbria italy;110;0.12;0.28;0;12
umbria property for sale;40;0.13;0.26;3;20
houses for sale umbria italy;70;0.1;0.23;3;6
property for sale in piedmont italy;40;0.35;0.29;3;5
piedmont italy real estate;110;0.3;0.29;0;5
houses for sale piedmont italy;110;0.13;0.15;3;4
le marche italy real estate;110;0.1;0.15;0;0
property for sale in abruzzo italy;210;0.11;0.17;3;19
houses for sale in abruzzo italy;590;0.05;0.16;3;16
abruzzo italy real estate;390;0.03;0.12;0;21
real estate abruzzo italy;140;0.03;0.12;0;17
abruzzo property for sale;140;0.07;0.21;3;19
houses for sale abruzzo italy;110;0.04;0.16;3;15
property for sale in calabria italy;90;0.18;0.1;3;13
houses for sale in calabria italy;260;0.06;0.09;3;11
calabria italy real estate;260;0.21;0.14;0;16
real estate calabria italy;70;0.21;0.14;0;7
calabria property for sale;40;0.08;0.12;3;7
houses for sale calabria italy;70;0.06;0.09;3;14
houses for sale in molise italy;90;0;0.04;3;18
molise italy real estate;140;0;0.06;0;14
molise italy property for sale;50;0;0.1;3;12
houses for sale molise italy;70;0;0.06;3;9
houses for sale in lazio italy;70;0.07;0.11;3;2
lazio italy real estate;40;0.07;0.25;0;5
trentino italy real estate;70;0;0.08;0;10
property for sale in rome italy;210;0.14;0.2;3;26
houses for sale in rome italy;880;0.25;0.22;3;25
rome italy real estate;390;0.15;0.24;0;23
apartments for sale in rome italy;590;0.25;0.27;3;19
rome italy property for sale;90;0.29;0.26;3;23
cheap houses for sale in rome italy;50;0.11;0.05;3;4
real estate rome italy;390;0.23;0.3;0;25
rome property for sale;40;0.29;0.26;3;27
houses for sale rome italy;140;0.25;0.22;3;23
property for sale in milan italy;140;0.24;0.37;3;26
houses for sale in milan italy;140;0.13;0.16;3;5
milan italy real estate;320;0.12;0.24;0;16
apartments for sale in milan italy;170;0.11;0.22;3;10
real estate milan italy;70;0.2;0.45;0;18
milan property for sale;90;0.24;0.37;3;22
houses for sale milan italy;70;0.22;0.35;3;21
property for sale in florence italy;210;1.38;0.48;3;16
houses for sale in florence italy;720;0.18;0.37;3;19
florence italy real estate;320;0.22;0.4;0;19
villas for sale in florence italy;140;0.79;0.49;3;9
apartments for sale in florence italy;590;0.25;0.34;3;12
florence italy property for sale;70;1.38;0.48;3;16
cheap houses for sale in florence italy;70;0.09;0.16;3;7
real estate florence italy;110;1.61;0.54;0;17
florence property for sale;110;0.25;0.43;3;26
houses for sale florence italy;140;0.18;0.37;3;17
property for sale in venice italy;110;0.24;0.4;3;16
houses for sale in venice italy;320;0.4;0.39;3;22
venice italy real estate;390;0.21;0.39;0;24
apartments for sale in venice italy;210;0.14;0.33;3;10
real estate venice italy;140;0.21;0.39;0;23
venice property for sale;110;0.24;0.41;3;36
houses for sale venice italy;90;0.29;0.17;3;23
property for sale in naples italy;70;0.29;0.16;3;8
houses for sale in naples italy;320;0.09;0.12;3;15
naples italy real estate;210;0.09;0.18;0;23
villas for sale in naples italy;70;0.29;0.16;3;14
real estate naples italy;40;0.11;0.09;0;13
naples property for sale;110;1.74;0.57;3;46
houses for sale naples italy;50;0.09;0.12;3;13
houses for sale in turin italy;170;0.21;0.12;3;15
turin italy real estate;110;0.22;0.19;0;15
apartments for sale in turin italy;70;0.1;0.13;3;5
real estate turin italy;90;0.15;0.08;0;13
houses for sale in bologna italy;170;0.09;0.1;3;13
bologna italy real estate;140;0.04;0.08;0;13
apartments for sale in bologna italy;50;0.03;0.13;3;6
houses for sale bologna italy;210;0.09;0.1;3;15
genoa italy real estate;110;0.08;0.14;0;23
apartments for sale in genoa italy;40;0.04;0.15;3;9
houses for sale in palermo italy;210;0.04;0.11;3;6
palermo italy real estate;170;0.03;0.11;0;5
houses for sale in verona italy;140;0.02;0.14;3;18
