keyword;volume;cpc;comp;intent;kd
property for sale in lecce italy;70;0.15;0.2;;0
lecce property for sale;50;0.15;0.2;;0
ostuni property for sale;70;0.14;0.21;;0
property for sale in siena italy;30;0.11;0.33;;0
siena property for sale;30;0.11;0.33;;0
property for sale in lucca italy;260;0.28;0.23;3;16
lucca property for sale;260;0.28;0.23;3;10
houses for sale in lucca italy;140;0.18;0.24;3;8
property for sale in perugia italy;40;0.11;0.33;;0
perugia property for sale;30;0.11;0.16;;0
property for sale in arezzo italy;30;0.14;0.22;;0
taormina property for sale;70;0.07;0.08;;0
property for sale in bari italy;90;0.34;0.08;;0
bari property for sale;90;0.34;0.08;;0
property for sale in ancona italy;40;0;0.06;;0
houses for sale in ancona italy;30;0;0.14;;0
sanremo property for sale;70;0.23;0.19;;0
property for sale in portofino italy;70;0.14;0.19;;0
portofino property for sale;70;0.14;0.19;;0
houses for sale in portofino italy;110;0.3;0.12;3;10
como property for sale;140;0.14;0.1;3;16
catania property for sale;50;0.1;0.13;;0
cefalu property for sale;70;0.18;0.09;;0
property for sale in lake como italy;110;0.17;0.17;3;0
lake como property for sale;590;0.16;0.19;3;25
houses for sale in lake como italy;30;0.14;0.16;;0
property for sale in lake garda italy;110;0.17;0.12;;0
lake garda property for sale;260;0.28;0.1;3;9
houses for sale in lake garda italy;30;0.18;0.09;;0
property for sale in amalfi coast italy;30;0.19;0.15;;0
amalfi coast property for sale;170;0.28;0.19;3;17
cinque terre property for sale;30;0.12;0.23;;0
dolomites property for sale;30;0.23;0.15;;0
positano property for sale;30;0.21;0.33;;0
property for sale in sorrento italy;210;0.2;0.1;3;18
sorrento property for sale;90;0.21;0.1;;0
houses for sale in sorrento italy;140;0.11;0.05;3;18
capri property for sale;40;0.19;0.14;;0
houses for sale in capri italy;40;0.16;0.33;;0
lake maggiore property for sale;50;0.13;0.18;;0
